テストファイルNo.,実装方法タイトル,対象,見解,代替／推奨手法,注意点,備考,
達成基準 7.1.1.1 非テキストコンテンツ,,,,,,,
G196-1,G196: 画像のグループにある一つの画像に代替テキストを提供して、そのグループの全ての画像を説明する,画像を繰り返して5段階評価を示すケース,要注意,可能なかぎり、一つの画像にしたほうがよい。どうしても画像を別々にしなければならない場合は、この実装方法を用いてもよい。,,,
G196-2,G196: 画像のグループにある一つの画像に代替テキストを提供して、そのグループの全ての画像を説明する,一つの画像を繰り返し使用するケース,要注意,可能なかぎり、一つの画像にしたほうがよい。どうしても画像を別々にしなければならない場合は、この実装方法を用いてもよい。,"
",,
H2-2,H2: 隣り合った画像とテキストリンクを同じリンクの中に入れる,a要素内にあるimg要素のalt属性,要注意,可能な場合には、リンクをすべて画像にするか、またはすべてテキストにしたほうがよい。,"一つのリンクの中に画像とテキストがあり、その画像のalt属性値に代替テキストが記述されている場合、スクリーンリーダーのPC-Talker XPとNetReader、iOS6のVoiceOverではその代替テキストが読み上げられない。画像が装飾を目的にしていて、そのalt属性値が空の場合には問題ない。
",,
H24,H24: イメージマップのarea要素に代替テキストを提供する,イメージマップのarea要素のalt属性,達成可能,画像を非表示に設定しているユーザーを想定する場合には、イメージマップだけでなく、各ホットスポットと同じリンク先へのテキストリンクを提供するとよい。,多くのビジュアルブラウザでは、画像を非表示にしてもarea要素の代替テキストは表示されない。,,
H30-2,H30: a 要素のリンクの目的を説明するリンクテキストを提供する,a要素内に単一のimg要素があるケース,達成可能,,SafariやChromeでは、画像を非表示にした際に代替テキストが表示されない。,,
H30-5,H30: a 要素のリンクの目的を説明するリンクテキストを提供する,a要素内にテキストがあり、その後ろにimg要素があるケース,要注意,可能な場合には、リンクをすべて画像にするか、またはすべてテキストにしたほうがよい。,"画像が装飾を目的にしていて、そのalt属性値が空の場合には問題ない。
ただし、alt属性値に代替テキストが記述されている場合、スクリーンリーダーのPC-Talker XP、NetReader、VoiceOverではその代替テキストが読み上げられないので注意が必要。",一部のスクリーンリーダーでは、画像がテキストの前にある場合には代替テキストを読み、後ろにある場合には読まないことがある。,
H35,H35: applet要素に代替テキストを提供する,applet要素のalt属性とボディ,要注意,,"近年ではapplet要素を使用するケースはかなり少ない。
アプレットを埋め込む際には、applet要素を用いる方法とobject要素を用いる方法とが考えられるが、想定される閲覧環境に応じて検証を行い、サポート状況を確認すること。","参考：検証する際のブラウザの設定変更方法
オラクル：Web ブラウザで Java Runtime Environment (JRE) を使用可能にする(http://www.java.com/ja/download/help/enable_browser.xml)
マイクロソフト：Internet Explorer のアクティブ コンテンツを無効にする方法(http://support.microsoft.com/kb/154036/ja)
Firefox ヘルプ：Java アプレットを無効にするには(http://support.mozilla.com/ja/kb/Java%20%E3%82%A2%E3%83%97%E3%83%AC%E3%83%83%E3%83%88%E3%82%92%E7%84%A1%E5%8A%B9%E3%81%AB%E3%81%99%E3%82%8B%E3%81%AB%E3%81%AF?s=Java+%E7%84%A1%E5%8A%B9&as=s)",
H36,H36: 送信 / 実行ボタンとして用いる画像の alt 属性を使用する,"input要素のtype=""image""",達成可能,,"Safari, Google Chromeでは画像を非表示にすると代替テキストが表示されない。",,
H37-1,H37: img 要素の alt 属性を用いる,img要素のalt属性,達成可能,,"Safari, Google Chromeでは画像を非表示にすると代替テキストが表示されない。",,
H37-2,H37: img 要素の alt 属性を用いる,イメージマップ画像のalt属性,要注意,,"iOS6のVoiceOverでは画像の代替テキストが読まれない。
Safari, Google Chromeでは画像を非表示にすると代替テキストが表示されない。",,
H45,H45: longdesc属性を用いる,img要素のlongdesc属性,達成不可能,画像の詳細な説明を提供したい場合には、同じページに記述する、又は別ページに記述してリンクを提供する。その際には、どの画像の説明なのかが分かるように、リンクテキストを記述する必要がある。,"ブラウザ、スクリーンリーダーにほとんどサポートされていない。また、利用者にもほとんど知られていないのが現状である。
",,
H53-1,H53: object要素のボディに代替テキストを記述する,object要素の内容にp要素で入れた代替テキスト,要注意,,"スクリーンリーダーのPC-Talkerでは代替テキストが読み上げられないため注意が必要。
",IE8とJAWS 9の組み合わせでは代替テキストを読み上げる。,
H53-2,H53: object要素のボディに代替テキストを記述する,object要素の内容にimg要素を入れ、そのalt属性で指定した代替テキスト,要注意,,"スクリーンリーダーのPC-Talkerでは代替テキストが読み上げられないため注意が必要。
",IE8とJAWS 9の組み合わせでは代替テキストを読み上げる。,
H53-3,H53: object要素のボディに代替テキストを記述する,object要素で画像を表示し、内容にp要素で入れた代替テキスト,達成不可能,画像の代替としてテキストを指定する場合は、img要素を用いることが望ましい。,対応していないスクリーンリーダーが多い。,,
H65-1,H65: label要素を用いることができないとき、title属性を用いてフォーム・コントロールを特定する,select要素のtitle属性,要注意,"フォーム・コントロールにはラベルとなるテキストを付与して、そのテキストをlabel要素を用いてマークアップするのが最もよい。
ラベルとなるテキストを付与できない場合には、title属性を用いることができる。","キーボード操作でフォーカスを移動させた際には、title属性値がツールチップによって表示されないことに注意する必要がある。そのため、ラベルとなるテキストを付与できずにtitle属性を用いる場合には、利用者がコントロールの名前や意味を視覚的に判断できるようにフォーム・コントロールを配置しなければならない。また、必要不可欠な情報である場合には、本文などで提供すべきである。
また、select要素のラベルとなるテキストがない場合（title属性を用いる場合）は、option要素のテキスト（選択肢）を何を選択するのかが分かるように記述すること。",使用することによる悪影響はなく、キーボード操作時も画面にツールチップが表示されるように、ブラウザの今後の機能向上に期待する。,
H65-2,H65: label要素を用いることができないとき、title属性を用いてフォーム・コントロールを特定する,"input要素（type=""text"")のtitle属性",要注意,"フォーム・コントロールにはラベルとなるテキストを付与して、そのテキストをlabel要素を用いてマークアップするのが最もよい。
ラベルとなるテキストを付与できない場合には、title属性を用いることができる。",キーボード操作でフォーカスを移動させた際には、title属性値がツールチップによって表示されないことに注意する必要がある。そのため、ラベルとなるテキストを付与できずにtitle属性を用いる場合には、利用者がコントロールの名前や意味を視覚的に判断できるようにフォーム・コントロールを配置しなければならない。また、必要不可欠な情報である場合には、本文などで提供すべきである。,使用することによる悪影響はなく、キーボード操作時も画面にツールチップが表示されるように、ブラウザの今後の機能向上に期待する。,
H65-3,H65: label要素を用いることができないとき、title属性を用いてフォーム・コントロールを特定する,"input要素（type=""text"")のtitle属性",要注意,"フォーム・コントロールにはラベルとなるテキストを付与して、そのテキストをlabel要素を用いてマークアップするのが最もよい。
ラベルとなるテキストを付与できない場合には、title属性を用いることができる。",キーボード操作でフォーカスを移動させた際には、title属性値がツールチップによって表示されないことに注意する必要がある。そのため、ラベルとなるテキストを付与できずにtitle属性を用いる場合には、利用者がコントロールの名前や意味を視覚的に判断できるようにフォーム・コントロールを配置しなければならない。また、必要不可欠な情報である場合には、本文などで提供すべきである。,使用することによる悪影響はなく、キーボード操作時も画面にツールチップが表示されるように、ブラウザの今後の機能向上に期待する。,
H67,H67: 支援技術が無視すべき画像の img 要素で、alt属性値を空にして、title 属性を付与しない,img要素のalt属性およびtitle属性,達成可能,,スクリーンリーダーでは、NetReaderのみ画像のファイル名を読み上げてしまう。,,
H86-1,H86: ASCIIアート、顔文字、及びリート語に代替テキストを提供する,顔文字,達成不可能,ASCIIアート、顔文字、及びリート語を使用する際には画像にして、alt属性で代替テキストを提供するとよい。また、リート語は直後にカッコ書きで代替テキストを提供することもできる。,"アクセシビリティを確保するためには、ASCIIアート、顔文字、及びリート語を使わないほうがよい。
そもそも、abbr要素は略語をマークアップするための要素である。",,
H86-2,H86: ASCIIアート、顔文字、及びリート語に代替テキストを提供する,ASCIIアートのスキップリンク,要注意,アクセシビリティを確保するためには、ASCIIアートを画像にしてalt属性で代替テキストを提供したほうがよい。,"ASCIIアートを用いる際には、それを説明する代替テキストを提供することが不可欠である。また、スクリーンリーダーでASCIIアートの無意味な文字の連続を聞かないですむように、スキップできる手段を提供するとよい。
ただし、フラグメントIDを指定したページ内リンクにはうまく対応できていないスクリーンリーダーが多い。",PC-Talker7では、a要素のname属性でフラグメントIDを指定しても動作しないが、id属性で指定した場合は動作する。,
H86-3,H86: ASCIIアート、顔文字、及びリート語に代替テキストを提供する,リート語,達成不可能,ASCIIアート、顔文字、及びリート語を使用する際には画像にして、alt属性で代替テキストを提供するとよい。また、リート語は直後にカッコ書きで代替テキストを提供することもできる。,"アクセシビリティを確保するためには、ASCIIアート、顔文字、及びリート語を使わないほうがよい。
そもそも、abbr要素は略語をマークアップするための要素である。",,
