テストファイルNo.,実装方法タイトル,対象,見解,代替もしくは推奨する方法,注意点,備考
達成基準 7.2.4.4 文脈におけるリンクの目的,,,,,,
G53,G53: リンクテキストとそれが含まれている文章中のテキストとを組み合わせて、リンクの目的を特定する,文中のリンク,達成可能,できるかぎり、等級AAAの「リンクテキストだけ」でリンクの目的が分かるようにするとよい。それができない場合に等級Aの「プログラムが解釈可能なリンクの文脈」として、リンクが含まれる文を用いる。,"WCAG 2.0解説書に「利用者があるリンクにやってきて、その位置にいたままで、リンクに関するより多くの情報を探し出すことができる必要がある。」とあるが、HPRやFocusTalkではフォーカスが移動してしまう。
しかし、行読みモード（矢印キー等）で前後に移動すれば文脈をたどることができるため、実用上の問題はほとんどないと考えることができる。
",PC-Talker7では、Ctrl＋上または下矢印キーで仮想カーソルを前後に移動させてもフォーカスは移動しない。
H2-2,H2: 隣り合った画像とテキストリンクを同じリンクの中に入れる,a要素内にあるimg要素のalt属性,要注意,可能な場合には、リンクをすべて画像にするか、またはすべてテキストにしたほうがよい。,"一つのリンクの中に画像とテキストがあり、その画像のalt属性値に代替テキストが記述されている場合、スクリーンリーダーのPC-Talker XPとNetReader、iOS6のVoiceOverではその代替テキストが読み上げられない。画像が装飾を目的にしていて、そのalt属性値が空の場合には問題ない。
",
H24,H24: イメージマップのarea要素に代替テキストを提供する,イメージマップのarea要素のalt属性,達成可能,画像を非表示に設定しているユーザーを想定する場合には、イメージマップだけでなく、各ホットスポットと同じリンク先へのテキストリンクを提供するとよい。,多くのビジュアルブラウザでは、画像を非表示にしてもarea要素の代替テキストは表示されない。,
H33-1,H33： title属性を用いて、リンクテキストの文言を補足する,リンクのラベルを補足するtitle属性,要注意,,キーボード操作ではtitle属性値がツールチップで表示されない。また、一部のスクリーンリーダーではtitle属性値を確認することは可能だが、title属性値の記述があることを知らせてくれる機能はない。,マウス操作をしているユーザーにはツールチップで表示されるので有用な場面もある。使用することによる悪影響はなく、キーボード操作時も画面にツールチップが表示されるように、ブラウザの今後の機能向上に期待する。
H33-2,H33： title属性を用いて、リンクテキストの文言を補足する,title属性で新しいウィンドウで開くことを示したリンク,要注意,,キーボード操作ではtitle属性値がツールチップで表示されない。また、一部のスクリーンリーダーではtitle属性値を確認することは可能だが、title属性値の記述があることを知らせてくれる機能はない。,マウス操作をしているユーザーにはツールチップで表示されるので有用な場面もある。使用することによる悪影響はなく、キーボード操作時も画面にツールチップが表示されるように、ブラウザの今後の機能向上に期待する。
H77-1,H77: リンクテキストとそれが含まれているリスト項目とを組み合わせて、リンクの目的を特定する,li要素内にあるa要素,要注意,できるかぎり、「リンクテキストだけ」でリンクの目的が分かるようにするとよい。それができない場合にこの実装方法を用いる。,一部のスクリーンリーダーではサポートされていない。,支援技術の機能向上に期待する。使用することによる悪影響はなく、サポートしていないスクリーンリーダーでも行読みモード（矢印キー等）で前後に移動すれば文脈をたどることができるため、実用上の問題はほとんどないと考えることができる。
H77-2,H77: リンクテキストとそれが含まれているリスト項目とを組み合わせて、リンクの目的を特定する,li要素内に複数あるa要素,要注意,できるかぎり、「リンクテキストだけ」でリンクの目的が分かるようにするとよい。それができない場合にこの実装方法を用いる。,一部のスクリーンリーダーではサポートされていない。,支援技術の機能向上に期待する。使用することによる悪影響はなく、サポートしていないスクリーンリーダーでも行読みモード（矢印キー等）で前後に移動すれば文脈をたどることができるため、実用上の問題はほとんどないと考えることができる。
H78,H78: リンクテキストとそれが含まれているパラグラフとを組み合わせて、リンクの目的を特定する,p要素内にあるa要素,要注意,できるかぎり、「リンクテキストだけ」でリンクの目的が分かるようにするとよい。それができない場合にこの実装方法を用いる。,一部のスクリーンリーダーではサポートされていない。,支援技術の機能向上に期待する。使用することによる悪影響はなく、サポートしていないスクリーンリーダーでも行読みモード（矢印キー等）で前後に移動すれば文脈をたどることができるため、実用上の問題はほとんどないと考えることができる。
H79,H79: リンクテキストとそれが含まれているデータセル及び関連づけられた見出しセルとを組み合わせて、リンクの目的を特定する,td要素内にあるa要素,要注意,できるかぎり、「リンクテキストだけ」でリンクの目的が分かるようにするとよい。データテーブルでデータセルにリンクを置く際は冗長になりやすいので、この実装方法を用いた方が良い場合もある。,一部のスクリーンリーダーではサポートされていない。,使用することによる悪影響はなく、支援技術の機能向上に期待する。
