,Google Chrome 25　アクセシビリティサポーテッド検証結果 [等級A]  2013年3月版,,,,,,,
,＊ この検証結果は、ウェブアクセシビリティ基盤委員会 実装ワーキンググループ（WG2）が提供する参考情報であり、予告なく変更されることがあります。,,,,,記号の説明,,
,＊ この情報をご利用になる前に、ライセンス（利用許諾条項）と免責事項を必ずご確認ください。,,,,,○,サポートあり,
,＊最新版は、ウェブアクセシビリティ基盤委員会のサイトでご確認ください（http://waic.jp/docs/jis2010/as.html）。,,,,,△,一部サポート,
,,,,,,×,サポートなし,
,,,,,,？,判定できず,
,"Windows 7, Google Chrome 25, 支援技術なし",,,,,-,テスト不要（N/A）,
,"テストファイル
No.","検証結果
○/△/×/?/-",操作手順,備考,,,,
,C6,○,"【1】2段組のレイアウトで、左側の段に「野菜」の定義リスト、右側の段に「果物」の定義リストが、それぞれ並んで表示されるかを確認する。

","【1】○
2段組のレイアウトで、左側の段に「野菜」の定義リスト（きゅうり、なす、大根）、右側の段に「果物」の定義リスト（りんご、みかん）が、それぞれ縦に並んで表示されることを確認した。

",,,,
,C7,○,"【1】CSSをオンにした状態で、リンクテキストは「全文」だけが表示されるかを確認する。

","【1】○
「ワシントンは、経済成長を促すためのプランを発表しました」が通常のテキストで表示され、そのテキストの右に「全文」だけがリンクで表示されることを確認した。

",,,,
,C8,○,"【1】「東」と「京」、「京」と「都」の間に1文字分のスペースが空いているかを確認する。

","【1】○
「東」と「京」、「京」と「都」の間に1文字分のスペースがあることを確認した。

",,,,
,C9-1,-,"【1】ブラウザの設定を変更してCSSをオフにすると、背景画像が非表示になるかを確認する。
【2】あらかじめブラウザのメニューでテキストの文字サイズを変更しておいたり、ハイコントラスト表示にしておいたりした場合、CSSをオフにしてもそのままの設定で閲覧ができるかを確認する。

","chromeにはCSSをオフにする機能が提供されていない。

",,,,
,C9-2,○,"【1】テキストリンク「経済産業省」にマウスポインタを置くと、テキストの背景にオレンジ色の画像が表示されるかを確認する。

","【1】○
マウスを「経済産業省」の上に置くと、テキストの背景の色がオレンジ色に変わることを確認した。

",,,,
,C9-3,-,"【1】ブラウザの設定を変更してCSSをオフにすると、背景画像（角丸の囲み枠など）が非表示になるかを確認する。
【2】あらかじめブラウザのメニューでテキストの文字サイズを変更しておいたり、ハイコントラスト表示にしておいたりした場合、CSSをオフにしてもそのままの設定で閲覧ができるかを確認する。

","chromeにはCSSをオフにする機能が提供されていない。

",,,,
