,NVDA 2012.3　アクセシビリティサポーテッド検証結果 [等級A]  2012年12月版,,,,,,
,＊ この検証結果は、ウェブアクセシビリティ基盤委員会 実装ワーキンググループ（WG2）が提供する参考情報であり、予告なく変更されることがあります。,,,,,記号の説明,
,＊ この情報をご利用になる前に、ライセンス（利用許諾条項）と免責事項を必ずご確認ください。,,,,,○,サポートあり
,＊最新版は、ウェブアクセシビリティ基盤委員会のサイトでご確認ください（http://waic.jp/docs/jis2010/as.html）。,,,,,△,一部サポート
,,,,,,×,サポートなし
,,,,,,？,判定できず
,"Windows 7 , Mozilla Firefox 17.0.1 , NVDA 2012.3.1",,,,,-,テスト不要（N/A）
検証日,"テストファイル
No.","検証結果
○/△/×/?/-",操作手順・音声読み上げログ,備考,,,
2012/12/17,C6,×,"■操作手順
「テスト開始」から「テスト終了」までを下矢印キーを使って読み上げたが、リストがあることは確認できるものの、定義リストかどうかを判断することはできなかった。
■音声読み上げ
「リスト７項目

野菜
きゅうり
なす
大根
果物
りんご
みかん

リスト終了」",,,,
2012/12/17,C7,○,"■操作手順
リンク項目にフォーカスを移動させると、「ワシントンによる経済成長促進プランの全文」と読み上げられる。
■音声読み上げ
「ワシントンによる経済成長促進プランの全文」",,,,
2012/12/17,C8,○,"■操作手順
「東京都」と読み上げられた。
■音声読み上げ
「東京都」",,,,
,C9-1,-,テスト不要,,,,
2012/12/17,C9-2,○,"■操作手順
テキストリンクにフォーカスを移動したところ、「経済産業省」と読み上げた。
■音声読み上げ
「経済産業省」",,,,
,C9-3,-,テスト不要,,,,
2012/12/17,G1-1,○,"■操作手順
1. リンク「メインコンテンツへスキップ」にフォーカスを移動させてリンクを押下した後全文読み上げを開始すると「プレスリリース」から読み上げ始めた。
2. リンク「メインコンテンツへスキップ」にフォーカスを移動させてリンクを押下した後、次にTabキーを押下するとニュース本文にあるリンク「PCサーバ「PRIMERGY」」にフォーカスが移動して読み上げられた。
■音声読み上げ
「見出しレベル1　プレスリリース
PCサーバ「PRIMERGY」　リンク」",,,,
2012/12/17,G1-2,○,"■操作手順
1. リンク「メインコンテンツへスキップ」にフォーカスを移動させてリンクを押下した後全文読み上げを開始すると「プレスリリース」から読み上げ始めた。
2. リンク「メインコンテンツへスキップ」にフォーカスを移動させてリンクを押下した後、次にTabキーを押下するとニュース本文にあるリンク「PCサーバ「PRIMERGY」」にフォーカスが移動して読み上げられた。
■音声読み上げ
「見出しレベル1　プレスリリース
PCサーバ「PRIMERGY」　リンク」",,,,
2012/12/17,G14-1,○,"■操作手順
1. 各セッションが「T1」、「T2」、「T3」のどれに属するのかが分かった。
■音声読み上げ
「9:00～9:30  セッション1（T1）
9:30～10:00  セッション2（T1）
10:00～10:30  セッション3（T1）
10:30～11:00  セッション4（T1）
9:00～9:30  セッション5（T2）
9:30～10:00  セッション6（T2）
10:00～10:30  セッション7（T2）
10:30～11:00  セッション8（T2）
9:00～9:30  セッション9（T3）
9:30～10:00  セッション10（T3）
10:00～10:30  セッション11（T3）
10:30～11:00  セッション12（T3）」",,,,
2012/12/17,G14-2,○,"■操作手順
1. 各セッションが「トラック 1」、「トラック 2」、「トラック 3」のどれに属するのかが分かった。
■音声読み上げ
「セッション 1 画像トラック 1
セッション 2 画像トラック 1
セッション 3 画像トラック 1
セッション 4 画像トラック 1
セッション 5 画像トラック 2
セッション 6 画像トラック 2
セッション 7 画像トラック 2
セッション 8 画像トラック 2
セッション 9 画像トラック 3
セッション 10 画像トラック 3
セッション 11 画像トラック 3
セッション 12 画像トラック 3」",,,,
2012/12/17,G14-3,○,"■操作手順
「お問合せ件名」、「お名前」に移動したとき、「必須」という文言が項目とともに読み上げられた。
■音声読み上げ
「お問合せ件名[必須] 選択してください　コンボボックスクローズサブメニュー
お名前[必須] （漢字）　エディットオートコンプリート」
",判定基準に「必須項目であることが音声だけでも伝わるか」と書かれています。確かに、「音声ブラウザ、スクリーンリーダーの場合」とあるので、それでも問題は無いのかもしれませんが、しかし点字出力をしているユーザーの存在を考えれば、「音声だけ」の「だけ」というのはやや問題があるように感じられます。,,,
2012/12/17,G14-4,○,"■操作手順
それぞれのボタンに移動したところ、「ボタン送信」、「ボタン取り消し」と読み上げられた。
■音声読み上げ
「ボタン送信
ボタン取り消し」",,,,
2012/12/17,G21,○,"■操作手順
Tabキーでフォーカスをリンク「HTMLのリンク 1」へ移動させた後、Tabキーを押下したところ、リンク項目「富士通トップページへ」にフォーカスが移動し、さらにTabキーを押下したところフォーカスが次のリンク「HTMLのリンク 2」に移動した

■音声読み上げ
「HTMLのリンク1
富士通トップページへ」
HTMLのリンク 2",,,,
2012/12/17,G53,○,"■操作手順
Tabキー（またはKキー）でフォーカスを[ここをクリック]リンクへ移動させ、NVDAキー（テンキー０等）＋上矢印キーを押すと、リンクを含む行「ウェブアクセシビリティ基盤委員会の詳細は、ここをクリック。」と読み上げた。

■音声読み上げ
「ウェブアクセシビリティ基盤委員会の詳細は、ここをクリック。」
",,,,
2012/12/25,G88-1,○,"■操作手順
ページを開いたとき、ページタイトルが読み上げられた。
■音声読み上げ
「自己適合宣言｜日本ウェブアクセシビリティ協会」",,,,
,G90-1,-,テスト不要,,,,
,G90-2,-,テスト不要,,,,
,G90-3,-,テスト不要,,,,
,G90-4,-,テスト不要,,,,
,G90-5,-,テスト不要,,,,
2012/12/25,G91,○,"■操作手順
リンク項目に移動したとき、「東京駅構内の最新のルート」と読み上げられ、リンクを開くことができた。
■音声読み上げ
「東京駅構内の最新のルート」",,,,
2012/12/25,G96-1,○,"■操作手順
ボタンにフォーカスを移動したとき「ボタンGo」と読み上げた。
■音声読み上げ
「ボタンGo」",,,,
2012/12/25,G96-2,○,"■操作手順
位置（「下」）が分からなくても、「利用可能な番号」という見出しを探し出し、選ぶことのできる番号を確認することができた。
■音声読み上げ
「見出しレベル1　利用可能な番号
リスト4項目
1234-5678-90
2345-6789-01
3456-7890-12
4567-8901-23
リスト終了」",,,,
2012/12/25,G96-3,○,"■操作手順
1. 下矢印キーを押して移動することで、位置（右下）が分からなくても、「プレビュー」ボタンを見つけることができた。
■音声読み上げ
「リンク画像　プレビュー」",テスト方法には「プレビューボタン」と表現されていますが、実際に存在しているのは画像リンクであることに問題はないでしょうか？確かに画像はボタンの外観を伴っていますが、しかし代替テキストに「ボタン」という言葉は含まれておらず、マークアップ上もbutton要素が使われていないため、ボタンをみつけるということが困難と思われます。,,,
2012/12/25,G107,○,"■操作手順
リンク「用語解説 (新しいウィンドウで表示)」にフォーカスを移動させただけでは何も起こらずに、リンクを押下したときだけリンク先が別のタブで開いた。
■音声読み上げ
「用語解説 (新しいウィンドウで表示)」",利用者の閲覧環境によっては、必ずしも「新しいウインドウ」が表示されるわけではないため、リンクテキスト及びテスト項目の表現を変えるべきと考えます。また、Firefox 19.0.2において、タブキーで操作したときに当該リンクにフォーカスを与えた次のタブキー操作で新しいウィンドウが開いてしまう事象が確認されました。,,,
