,PC-Talker 7 2.12　アクセシビリティサポーテッド検証結果 [等級A]  2013年3月版,,,,,記号の説明,,,,,
,＊ この検証結果は、ウェブアクセシビリティ基盤委員会 実装ワーキンググループ（WG2）が提供する参考情報であり、予告なく変更されることがあります。,,,,,○,サポートあり,,,,
,＊ この情報をご利用になる前に、ライセンス（利用許諾条項）と免責事項を必ずご確認ください。,,,,,△,一部サポート,,,,
,＊最新版は、ウェブアクセシビリティ基盤委員会のサイトでご確認ください（http://waic.jp/docs/jis2010/as.html）。,,,,,×,サポートなし,,,,
,,,,,,？,判定できず,,,,
,,,,,,-,テスト不要（N/A）,,,,
,"Windows 7 , Internet Explorer 9.0 , PC-Talker 7 2.12 ",,,,,,,,,,
,"テストファイル
No.","検証結果
○/△/×/?/-",操作手順・音声読み上げログ,判断軸・不安要素,,,,,,,
,C6,△,"■操作手順
Ctrl＋下矢印キー

■音声読み上げ
「野菜」
「きゅうり」
「なす」
「大根」
「果物」
「りんご」
「みかん」",定義リストであることが分かるようには読み上げない。,,,,,,,
,C7,○,"■操作手順
Ctrl＋下矢印キー、またはTabキー

■音声読み上げ
「ワシントンによる経済成長促進プランの全文　リンク」",,,,,,,,
,C8,○,"■操作手順
Ctrl＋下矢印キーで行読み、またはShiftキーで全文読み

■音声読み上げ
「とうきょうと」",,,,,,,,
,C9-1,-,テスト不要,,,,,,,,
,C9-2,○,"■操作手順
Ctrl＋下矢印キーで行読み、またはShiftキーで全文読み

■音声読み上げ
「経済産業省　リンク」",,,,,,,,
,C9-3,-,テスト不要,,,,,,,,
,G1-1,△,"■操作手順
1.「メインコンテンツへスキップ」にフォーカスを移動させてEnterキーを押下。Shiftキー押下で全文読み上げを開始すると、「プレスリリース」から読み始める。
2.「メインコンテンツへスキップ」にフォーカスを移動させてEnterキーを押下。Tabキーを押下すると「メインコンテンツへスキップ」にフォーカスがあたる。

■音声読み上げ
1.の場合：
フォーカス移動
「メインコンテンツへスキップ」
Enterキー押下
「プレスリリース」
Shiftキー押下
「プレスリリース　PCサーバ「PRIMERGY」の・・・」

2.の場合：
「メインコンテンツへスキップ」
Enterキー押下
「プレスリリース」
Tabキー押下
「メインコンテンツへスキップ」","1.スキップリンクを押下した後、メインコンテンツ開始位置から読み上げるので　○。
2.スキップリンクを押下した後、Tabキーを押下すると、またスキップリンクにフォーカスがあたるので　×。",,,,,,,
,G1-2,△,"■操作手順
1.「メインコンテンツへスキップ」にフォーカスを移動させてEnterキーを押下。Shiftキー押下で全文読み上げを開始すると、「プレスリリース」から読み始める。
2.「メインコンテンツへスキップ」にフォーカスを移動させてEnterキーを押下。Tabキーを押下すると「メインコンテンツへスキップ」にフォーカスがあたる。

■音声読み上げ
1.の場合：
フォーカス移動
「メインコンテンツへスキップ」
Enterキー押下
「プレスリリース」
Shiftキー押下
「プレスリリース　PCサーバ「PRIMERGY」の・・・」

2.の場合：
「メインコンテンツへスキップ」
Enterキー押下
「プレスリリース」
Tabキー押下
「メインコンテンツへスキップ」","1.スキップリンクを押下した後、メインコンテンツ開始位置から読み上げるので　○。
2.スキップリンクを押下した後、Tabキーを押下すると、またスキップリンクにフォーカスがあたるので　×。",,,,,,,
,G14-1,○,"■操作手順
Ctrl＋下矢印キーで各セル間を移動

■音声読み上げ
「きゅう、ぜろぜろ　きゅう、さんじゅう　セッション1　T1」",,,,,,,,
,G14-2,○,"■操作手順
Ctrl＋下矢印キーで順に移動

■音声読み上げ
「セッション 1 　トラック１　画像　セッション 5　トラック２　画像　セッション 9　 トラック３　画像」",画像の代替テキストを読み上げる,,,,,,,
,G14-3,○,"■操作手順
Ctrl＋下矢印キーで順に移動

■音声読み上げ
Ctrl＋下矢印キー
「お問合せ件名　必須」
Ctrl＋下矢印キー
「選択してください」
Ctrl＋下矢印キーでセレクトメニューへ移動
「お問合せ件名　必須　の選択」
Ctrl＋下矢印キー
「お名前　必須」
Ctrl＋下矢印キー
「漢字」
Ctrl＋下矢印キーでテキストフィールドへ移動
「お名前　必須　の文字入力」",Tabキーで移動した場合もフォーム・コントロールの読み上げは同じ,,,,,,,
,G14-4,○,"■操作手順
Ctrl＋上下矢印キーで順に移動

■音声読み上げ
Ctrl＋下矢印キー
「送信のプッシュボタン」
Ctrl＋下矢印キー
「取消のプッシュボタン」
",,,,,,,,
,G21,○,"■操作手順
Ctrl＋下矢印キー、またはTabキーで順に移動

■音声読み上げ
Ctrl＋下矢印キー
「HTMLのリンク 1　リンク」
Ctrl＋下矢印キー
「富士通トップページへ」
Ctrl＋下矢印キー
「富士通トップページへ　のプッシュボタン」
Ctrl＋下矢印キー
「富士通トップページへ」
Ctrl＋下矢印キー
「これはFlashコンテンツです」
Ctrl＋下矢印キー
「HTMLのリンク ２　リンク」","Tabキーの場合：
Tabキー
「HTMLのリンク 1　リンク」
Tabキー
「富士通トップページへ　リンク」
Tabキー
「富士通トップページへ」
Tabキー
「HTMLのリンク ２　リンク」",,,,,,,
