,Firefox 3.5　アクセシビリティサポーテッド検証結果 [等級A]  2012年5月版,,,,,記号の説明,,,,,,
,＊ この検証結果は、ウェブアクセシビリティ基盤委員会 実装ワーキンググループ（WG2）が提供する参考情報であり、予告なく変更されることがあります。,,,,,○,サポートあり,,,,,
,＊ この情報をご利用になる前に、ライセンス（利用許諾条項）と免責事項を必ずご確認ください。,,,,,△,一部サポート,,,,,
,＊最新版は、ウェブアクセシビリティ基盤委員会のサイトでご確認ください（http://waic.jp/docs/jis2010/as.html）。,,,,,×,サポートなし,,,,,
,,,,,,？,判定できず,,,,,
,,,,,,-,テスト不要（N/A）,,,,,
," Windows XP, Firefox3.5 , 支援技術なし",,,,,,,,,,,
,"テストファイル
No.","検証結果
○/△/×/?/-",操作手順,備考,,,,,,,,
,C6,○,2段組のレイアウトで、左側の段に「野菜」の定義リスト、右側の段に「果物」の定義リストが、それぞれ並んで表示された,,,,,,,,,
,C7,○,CSSをオンにした状態で、リンクテキストは「全文」だけが表示された。,,,,,,,,,
,C8,○,目視判断で、「東」と「京」、「京」と「都」の間に1文字分のスペースが空いていることを確認,,,,,,,,,
,C9-1,○,"以下の方法でスタイルシートを無効にした。
表示メニュー＞スタイルシート＞スタイルシートを使用しないを選択

背景画像が非表示になり白背景になった。
ブラウザの設定でフォントを48に設定してからCSSをオフにしても、フォントサイズ48のまま閲覧することができた。
ハイコントラスト表示を設定してからCSSをオフにしても、ハイコントラスト表示の設定の閲覧することができた。",,,,,,,,,
,C9-2,○,マウスオーバーするとオレンジの背景になった。,,,,,,,,,
,C9-3,○,"1．○：メニューバーの表示からCSSをオフにして実行。背景画像が消えてテキストのみになった。
2．○：メニューバーの表示から文字サイズを変更してCSSをオフ。文字サイズは変わらず背景画像が消えた。また、ユーザ設定でハイコントラストにした時も同様に、ハイコントラストのままテキスト識別可能。
",ただしリンクの文字は青色、アクセス後は紫色のままで見え難い。ハイコントラストの設定で変更可能なのだろうか。,,,,,,,,
,G1-1,○,"1.リンク「メインコンテンツへスキップ」が常に画面に表示されている。
2.「メインコンテンツへスキップ」にフォーカスを移動させてリンクを押下した後、次にTabキーを押下するとニュース本文にあるリンク「PCサーバ「PRIMERGY」」にフォーカスが移動した。",,,,,,,,,
,G1-2,○,"1.「メインコンテンツへスキップ」が画面に表示されていない。
2.「メインコンテンツへスキップ」にフォーカスを移動させるとリンクが表示される
3.「メインコンテンツへスキップ」を押下した後、次にTabキーを押下するとニュース本文にあるリンク「PCサーバ「PRIMERGY」」にフォーカスが移動した。",,,,,,,,,
,G14-1,-,テスト不要,,,,,,,,,
,G14-2,-,テスト不要,,,,,,,,,
,G14-3,-,テスト不要,,,,,,,,,
,G14-4,-,テスト不要,,,,,,,,,
,G21,×,キーボード操作：Tabキーでフォーカスをリンク「HTMLのリンク 1」へ移動させた後、Tabキーを押下すると「HTMLのリンク 2」に移動した。,Flash内にフォーカスが入らないので、×。,,,,,,,,
,G53,-,テスト不要,,,,,,,,,
,G88-1,○,タイトルバーにページタイトル「自己適合宣言｜ウェブアクセシビリティ基盤委員会」と表示された,,,,,,,,,
