,Firefox 4.0　アクセシビリティサポーテッド検証結果 [等級A]  2012年5月版,,,,,,,
,＊ この検証結果は、ウェブアクセシビリティ基盤委員会 実装ワーキンググループ（WG2）が提供する参考情報であり、予告なく変更されることがあります。,,,,,記号の説明,,
,＊ この情報をご利用になる前に、ライセンス（利用許諾条項）と免責事項を必ずご確認ください。,,,,,○,サポートあり,
,＊最新版は、ウェブアクセシビリティ基盤委員会のサイトでご確認ください（http://waic.jp/docs/jis2010/as.html）。,,,,,△,一部サポート,
,,,,,,×,サポートなし,
,,,,,,？,判定できず,
,"Windows 7, Firefox4.0 , 支援技術なし",,,,,-,テスト不要（N/A）,
,"テストファイル
No.","検証結果
○/△/×/?/-",操作手順,備考,,,,
,C6,○,1:2段組のレイアウトで、左側の段に「野菜」の定義リスト、右側の段に「果物」の定義リストが、それぞれ並んで表示されることを確認,,,,,
,C7,○,1:リンクテキストは「全文」だけが表示されることを確認,,,,,
,C8,○,1:目視判断で、「東」と「京」、「京」と「都」の間に1文字分のスペースが空いていることを確認,,,,,
,C9-1,○,"1:以下の方法でスタイルシートを無効にした。
表示メニュー＞スタイルシート＞スタイルシートを使用しないを選択
背景画像が非表示になることを確認
2:過文字サイズを変更しておいたり、ハイコントラスト表示にしておいたりした場合、CSSをオフにしてもそのままの設定で閲覧ができることを確認",,,,,
,C9-2,○,1:「経済産業省」にマウスポインタを置くと、テキストの背景にオレンジ色の画像が表示されることを確認,,,,,
,C9-3,○,"1:「スタイルシートを使用しない」を使用して実施
背景画像（角丸の囲み枠など）が非表示になることを確認
2:ブラウザのメニューでテキストの文字サイズを変更しておいたり、ハイコントラスト表示にしておいたりした場合、CSSをオフにしてもそのままの設定で閲覧ができることを確認",,,,,
,G1-1,○,"1:「メインコンテンツへスキップ」が常に画面に表示されることを確認
2:メインコンテンツへスキップ」にフォーカスを移動させてリンクを押下した後、次にTabキーを押下すると「PCサーバ「PRIMERGY」」にフォーカスが移動することを確認",,,,,
,G1-2,○,"1:「メインコンテンツへスキップ」が画面に表示されていないことを確認
2:「メインコンテンツへスキップ」にフォーカスを移動させるとリンクが表示されることを確認
3:「メインコンテンツへスキップ」を押下した後、次にTabキーを押下すると「PCサーバ「PRIMERGY」」にフォーカスが移動することを確認","1：○
2：○
3：○",,,,
,G14-1,-,テスト不要,,,,,
,G14-2,-,テスト不要,,,,,
,G14-3,-,テスト不要,,,,,
,G14-4,-,テスト不要,,,,,
