,Firefox 4.0　アクセシビリティサポーテッド検証結果 [等級AA]  2012年5月版,,,,,,,
,＊ この検証結果は、ウェブアクセシビリティ基盤委員会 実装ワーキンググループ（WG2）が提供する参考情報であり、予告なく変更されることがあります。,,,,,記号の説明,,
,＊ この情報をご利用になる前に、ライセンス（利用許諾条項）と免責事項を必ずご確認ください。,,,,,○,サポートあり,
,＊最新版は、ウェブアクセシビリティ基盤委員会のサイトでご確認ください（http://waic.jp/docs/jis2010/as.html）。,,,,,△,一部サポート,
,,,,,,×,サポートなし,
,,,,,,？,判定できず,
," Windows 7, Firefox4.0 , 支援技術なし",,,,,-,テスト不要（N/A）,
,"テストファイル
No.","検証結果
○/△/×/?/-",操作手順,備考,,,,
,C12,○,1:メニューの[表示]−[ズーム]−[文字サイズだけ変更]を選択し、文字サイズを変更した際、<h1>の「ユーザー」と本文中の「とても」の文字サイズが相対的に変化することを確認,,,,,
,C13,○,1メニューの[表示]−[ズーム]−[文字サイズだけ変更]を選択し、文字サイズを変更した際、それぞれの文字サイズが相対的に変化することを確認,,,,,
,C14,○,1:メニューの[表示]−[ズーム]−[文字サイズだけ変更]を選択し、文字サイズを変更した際、「ユーザー」と本文中の「とても」の文字サイズが相対的に変化することを確認,,,,,
,C15-1,○,"1:マウス操作：各リンクにマウスオーバーしたときに、そのリンクの文字色と背景色が変化し、マウスオーバーを外すと、元に戻ることを確認
2:キーボード操作：各リンクにフォーカスを移動させたときに、そのリンクの文字色と背景色が変化し、フォーカスを外すと、元に戻ることを確認",,,,,
,C15-2a,○,"1:マウス操作：テキストフィールドにフォーカスを入れると、の背景色が#7FFF00（緑）になり、フォーカスを外すと背景色は元に戻ることを確認
2:キーボード操作：テキストフィールドにフォーカスを入れると、背景色が#7FFF00（緑）になり、フォーカスを外すと背景色は元に戻ることを確認",,,,,
,C15-2b,○,"1:マウス操作：テキストエリアにフォーカスを入れると、背景色が#7FFF00（緑）になり、フォーカスを外すと背景色は元に戻ることを確認
2:キーボード操作：テキストエリアにフォーカスを入れると、背景色が#7FFF00（緑）になり、フォーカスを外すと背景色は元に戻ることを確認",,,,,
,C15-2c,○,"1:マウス操作：ラジオボタン又はラベルのテキストを選択すると、２つのどちらも背景色が#7FFF00（緑）になり、外すと背景色は元に戻ることを確認
2:キーボード操作：ラジオボタンにフォーカスをあてると、２つのどちらも背景色が#7FFF00（緑）になり、フォーカスを外すと背景色は元に戻ることを確認",,,,,
,C15-2d,○,"1:マウス操作：チェックボックス又はラベルのテキストを選択すると、選択したチェックボックスのラベルの背景色が#7FFF00（緑）になり、フォーカスを外すと元に戻ることを確認
2:キーボード操作：チェックボックスにフォーカスをあてると、そのチェックボックスのラベルの背景色が#7FFF00（緑）になり、フォーカスを外すと元に戻ることを確認",,,,,
,C15-2e,○,"1:マウス操作：セレクトメニューを選択したとき、セレクトメニューの背景色が緑になり、フォーカスを外すと背景色は元に戻ることを確認
2:キーボード操作：セレクトメニューにフォーカスをあてたとき及びセレクトメニューを開いたとき、セレクトメニューの背景色が緑になり、フォーカスを外すと背景色は元に戻ることを確認",,,,,
,C15-2f,○,"1:マウス操作：ボタンをクリックしたとき、ボタンの背景色が#7FFF00（緑）になることを確認
2:キーボード操作：ボタンにフォーカスをあてたとき、ボタンの背景色が#7FFF00（緑）になり、フォーカスを外すと背景色は元に戻ることを確認",,,,,
,C15-2g,○,"1:マウス操作：ボタンをクリックしたとき、ボタンの背景色が#7FFF00（緑）になることを確認
2:キーボード操作：ボタンにフォーカスをあてたとき、ボタンの背景色が#7FFF00（緑）になり、フォーカスを外すと背景色は元に戻ることを確認",,,,,
,G146,○,"1:[表示]−[ズーム]−[文字サイズだけ変更]を選択。（IEの200%と同等の大きさにする）
ブラウザの横スクロールバーが表示されることなく、すべてのコンテンツが表示されることを確認",,,,,
,G178-1,○,"1:マウス操作：「大きく」をクリックするとテキストの文字サイズが大きくなり、「小さく」をクリックすると小さくなり、「元に戻す」をクリックするとデフォルトの文字サイズに戻ることを確認
2:キーボード操作：「大きく」を押下するとテキストの文字サイズが大きくなり、「小さく」を押下すると小さくなり、「元に戻す」を押下するとデフォルトの文字サイズに戻ることを確認",,,,,
,G178-2,○,"マウス操作：
1. 「やや小さく」をクリックし文字サイズがデフォルトサイズの80％になる事を確認。
2. 「やや大きく」をクリックし文字サイズがデフォルトサイズの125％になる事を確認。
3. 「大きく」をクリックし文字サイズがデフォルトサイズの150％になる事を確認。
4. 「最大」をクリックし文字サイズがデフォルトサイズの200％になる事を確認。
5. 「元に戻す」をクリックするとデフォルトの文字サイズに戻る事を確認。

キーボード操作：
1. 「やや小さく」を押下し文字サイズがデフォルトサイズの80％になる事を確認。
2. Tabキー押下後、「やや大きく」を押下し文字サイズがデフォルトサイズの125％になる事を確認。
3. Tabキー押下後、「大きく」を押下し文字サイズがデフォルトサイズの150％になる事を確認。
4. Tabキー押下後、「最大」を押下し文字サイズがデフォルトサイズの200％になる事を確認。
5. Tabキー押下後、「元に戻す」を押下するとデフォルトの文字サイズに戻る事を確認。",,,,,
