,Firefox 9.0　アクセシビリティサポーテッド検証結果 [等級AA]  2012年4月版,,,,,記号の説明,,,,,,
,＊ この検証結果は、ウェブアクセシビリティ基盤委員会 実装ワーキンググループ（WG2）が提供する参考情報であり、予告なく変更されることがあります。,,,,,○,サポートあり,,,,,
,＊ この情報をご利用になる前に、ライセンス（利用許諾条項）と免責事項を必ずご確認ください。,,,,,△,一部サポート,,,,,
,＊最新版は、ウェブアクセシビリティ基盤委員会のサイトでご確認ください（http://waic.jp/docs/jis2010/as.html）。,,,,,×,サポートなし,,,,,
,,,,,,？,判定できず,,,,,
,,,,,,-,テスト不要（N/A）,,,,,
," Windows 7, Firefox9.0 , 支援技術なし",,,,,,,,,,,
,"テストファイル
No.","検証結果
○/△/×/?/-",操作手順,備考,,,,,,,,
,C012,○,1:メニューの[表示]－[文字サイズ]を選択し、文字サイズを変更した際、<h1>の「ユーザー」と本文中の「とても」の文字サイズが相対的に変化することを確認,,,,,,,,,
,C013,○,1メニューの[表示]－[文字サイズ]を選択し、文字サイズを変更した（「大」「最大」）際、それぞれの文字サイズが相対的に変化することを確認,,,,,,,,,
,C014,○,1:メニューの[表示]－[文字サイズ]を選択し、文字サイズを変更した（「大」「最大」）際、「ユーザー」と本文中の「とても」の文字サイズが相対的に変化することを確認,,,,,,,,,
,C015-1,○,"1:マウス操作：各リンクにマウスオーバーしたときに、そのリンクの文字色と背景色が背景色: #DCFFFF、文字色: #000066に変化し、マウスオーバーを外すと、元に戻ることを確認
2:キーボード操作：各リンクにフォーカスを移動させたときに、そのリンクの文字色と背景色が背景色: #DCFFFF、文字色: #000066に変化し、フォーカスを外すと、元に戻ることを確認","1:○
2:○",,,,,,,,
,C015-2a,○,"1:マウス操作：テキストフィールドにフォーカスを入れると、の背景色が#7FFF00（緑）になり、フォーカスを外すと背景色は元に戻ることを確認
2:キーボード操作：テキストフィールドにフォーカスを入れると、背景色が#7FFF00（緑）になり、フォーカスを外すと背景色は元に戻ることを確認","1:○
2:○",,,,,,,,
,C015-2b,○,"1:マウス操作：テキストエリアにフォーカスを入れると、背景色が#7FFF00（緑）になり、フォーカスを外すと背景色は元に戻ることを確認
2:キーボード操作：テキストエリアにフォーカスを入れると、背景色が#7FFF00（緑）になり、フォーカスを外すと背景色は元に戻ることを確認","1:○
2:○",,,,,,,,
,C015-2c,○,"1:マウス操作：ラジオボタン又はラベルのテキストを選択すると、２つのどちらも背景色が#7FFF00（緑）になり、外すと背景色は元に戻ることを確認
2:キーボード操作：ラジオボタンにフォーカスをあてると、２つのどちらも背景色が#7FFF00（緑）になり、フォーカスを外すと背景色は元に戻ることを確認","1:○
2:○",,,,,,,,
,C015-2d,○,"1:マウス操作：チェックボックス又はラベルのテキストを選択すると、選択したチェックボックスのラベルの背景色が#7FFF00（緑）になり、フォーカスを外すと元に戻ることを確認
2:キーボード操作：チェックボックスにフォーカスをあてると、そのチェックボックスのラベルの背景色が#7FFF00（緑）になり、フォーカスを外すと元に戻ることを確認","1:○
2:○",,,,,,,,
,C015-2e,○,"1:マウス操作：セレクトメニューを選択したとき、セレクトメニューの背景色が#7FFF00（緑）になり、フォーカスを外すと背景色は元に戻ることを確認
2:キーボード操作：セレクトメニューにフォーカスをあてたとき及びセレクトメニューを開いたとき、セレクトメニューの背景色が#7FFF00（緑）になり、フォーカスを外すと背景色は元に戻ることを確認","1:○
2:○",,,,,,,,
,C015-2f,○,"1:マウス操作：ボタンをクリックしたとき、ボタンの背景色が#7FFF00（緑）になることを確認
2:キーボード操作：ボタンにフォーカスをあてたとき、ボタンの背景色が#7FFF00（緑）になり、フォーカスを外すと背景色は元に戻ることを確認","1:○
2:○",,,,,,,,
