,FocusTalk V3　アクセシビリティサポーテッド検証結果 [等級A]  2012年4月版,,,,,記号の説明,,,,,,
,＊ この検証結果は、ウェブアクセシビリティ基盤委員会 実装ワーキンググループ（WG2）が提供する参考情報であり、予告なく変更されることがあります。,,,,,○,サポートあり,,,,,
,＊ この情報をご利用になる前に、ライセンス（利用許諾条項）と免責事項を必ずご確認ください。,,,,,△,一部サポート,,,,,
,＊最新版は、ウェブアクセシビリティ基盤委員会のサイトでご確認ください（http://waic.jp/docs/jis2010/as.html）。,,,,,×,サポートなし,,,,,
,,,,,,？,判定できず,,,,,
,,,,,,-,テスト不要（N/A）,,,,,
,,,,,,,,,,,,
,"Windows 7(32bit) , IE8 , FocusTalk V3",,,,,,,,,,,
,"テストファイル
No.","検証結果
○/△/×/?/-",操作手順・音声読み上げログ,備考,,,,,,,,
,C006,○,"■操作手順
1行読みモードで、「野菜 きゅうり なす 大根 果物 りんご みかん」と棒読みし、定義リストとしては、読み上げられなかった。
■音声読み上げ
「野菜 きゅうり なす 大根 果物 りんご みかん」
",,,,,,,,,
,C007,○,"■操作手順
ワシントンは、経済成長を促すためのプランを発表しました」の後に「ワシントンによる経済成長促進プランの全文」と読み上げる。全文読みでもTab移動でも同等の結果になる
■音声読み上げ
ワシントンは、経済成長を促すためのプランを発表しました」の後に「ワシントンによる経済成長促進プランの全文」",,,,,,,,,
,C008,○,"■操作手順
「東京都」と読み上げた。
■音声読み上げ
「トウキョウト」",,,,,,,,,
,C009-1,ー,テスト不要,,,,,,,,,
,C009-2,○,"■操作手順
Tabでフォーカスを移動させると、「経済産業省、未訪問のリンク」と読み上げた。
■音声読み上げ
「経済産業省、未訪問のリンク」",,,,,,,,,
,C009-3,－,テスト不要,,,,,,,,,
,G001-1,○,"■操作手順
1.「メインコンテンツへスキップ」でEnterを押下し、右矢印キーを押下すると、「プレスリリース」から読み上げる
2.その後にTabを押すと「PCサーバPRIMERGY」のリンクを読み上げる
■音声読み上げ
「メインコンテンツへスキップ　プレスリリース」
「PCサーバ「PRIMERGY」」",右矢印キーを押下、またはtabを押下した後の動作は、テスト方法通りであるが、スキップリンクでEnterを押下した後に、「罫線」の不要なものを読み上げる。,,,,,,,,
,G001-2,○,"■操作手順
1.「メインコンテンツへスキップ」でEnterを押下し、右矢印キーを押下すると、「プレスリリース」から読み上げる
2.その後にTabを押すと「PCサーバPRIMERGY」のリンクを読み上げる
■音声読み上げ
「メインコンテンツへスキップ　プレスリリース」
「PCサーバ「PRIMERGY」」",右矢印キーを押下、またはtabを押下した後の動作は、テスト方法通りであるが、スキップリンクでEnterを押下した後に、「罫線」の不要なものを読み上げる。,,,,,,,,
,G014-1,○,"■操作手順
通常読み上げモードだと、連続的に読むため、セルの区切りが意識できないが、
テーブル読み上げモードで→で進めてゆくと「9:00～9：30セッション1テラ1」をひとつの単位として読み上げる。
■音声読み上げ
「9:00～9：30セッション1テラ1」","「T１」を「テラ１」と読み上げる。
「10：00～」を「じゅうじーー」と読み上げる。",,,,,,,,
,G014-2,○,"■操作手順
「セッション1」「トラック」「1」、「セッション5」「トラック」「2」と読み上げる。
■音声読み上げ
「09：00から9：30　セッション１　トラック１」",,,,,,,,,
,G014-3,○,"■操作手順
「お問合せ件名　必須」、「お名前　必須」とそれぞれ読み上げているので伝達できている。
■音声読み上げ
「お問合せ件名　必須」、「お名前　必須」",,,,,,,,,
,G014-4,○,"■操作手順
「送信のボタン」、「取消のボタン」とそれぞれ読み上げた。
■音声読み上げ
「送信のボタン」、「取消のボタン」",,,,,,,,,
,G021,○,"■操作手順
Tabを押してゆくと「HTMLのリンク1」→「富士通トップページへ」→「HTMLのリンク2」に移動する。
■音声読み上げ
「HTMLのリンク1　富士通トップページへ　HTMLのリンク2」",,,,,,,,,
,G053,×,リンク「ここをクリック」にフォーカスを移動させた状態で、↑キーを操作すると、「ウェブアクセシビリティ基盤委員会の詳細は」を読み上げるが、Enterキーを押下してもリンク先に遷移しない。,,,,,,,,,
,G088-1,○,"■操作手順
１．ページに遷移すると、ページ全文読みモードではページタイトルは読み上げず、すぐにコンテンツを読み上げた。
２．Ctrl+Alt+A　を押すとアクティブなタブのページタイトルを読み上げる。
■音声読み上げ
１．「自己適合宣言　JIS X 8341-3では、自己適合宣言を行うことができます。」
２．「「自己適合宣言｜ウェブアクセシビリティ基盤委員会」が読み上げられた。",,,,,,,,,
,G090-1,-,テスト不要,,,,,,,,,
,G090-2,-,テスト不要,,,,,,,,,
,G090-3,-,テスト不要,,,,,,,,,
,G090-4,-,テスト不要,,,,,,,,,
,G090-5,-,テスト不要,,,,,,,,,
,G091,○,"■操作手順
「東京駅構内の最新のルート」にフォーカスを移動させると、「東京駅構内の最新のルート、未訪問のリンク」と読み上げ、[Enter]を押すと、リンク先のページに遷移した。
■音声読み上げ
「東京駅構内の最新のルート、未訪問のリンク」
",,,,,,,,,
,G096-1,○,"■操作手順
「↓」キーを押していくと、「次へ進むには、円い ""go"" ボタンを押してください。　ゴーのボタン」と読み上げた。
■音声読み上げ
「次へ進むには、エンい ""go"" ボタンを押してください。　ゴーのボタン」",,,,,,,,,
,G096-2,○,"■操作手順
↓で進めてゆくと「利用可能な番号」「234-5678-90」「2345-6789-01」と一つずつ読み上げる、かつリストで作成されているため、各リスト項目の最後に例えば「リスト項目　四分の一」と読み上げるので、番号と何項目中の何項目目を確認することができる。
■読み上げ
「下にある「利用可能な番号」の一覧の中から希望する番号を選んでください。
利用可能な番号　1234-5678-90 2345-6789-01　3456-7890-12　4567-8901-23 」",,,,,,,,,
,G096-3,○,"■操作手順
↓で進めてゆくと「右下のプレビューボタンを押してください」「印刷」「キャンセル」「OK」「プレビュー」と一つずつと読み上げるので、確認することができる
■音声読み上げ
「右下のプレビューボタンを押してください　印刷　キャンセル　OK　プレビュー」",,,,,,,,,
,G107,○,"■操作手順
Tabでフォーカスを当てると「用語解説 新しいウィンドウで表示」と読み上げるが、ジャンプはしなく、Enterを押すと新しいウィンドウが開く
■読み上げ
「用語解説 新しいウィンドウで表示」",,,,,,,,,
,G108,○,"■操作手順
1.Tabでフォーカスを当てると「検索キーワードを入力のエディット」と読み上げる。
2.検索ボタンにフォーカスを当てると「検索のボタン」と読み上げる。
■音声読み上げ
「検索キーワードを入力のエディット」
「検索のボタン」",,,,,,,,,
,G115-1,○,"■操作手順
「新しいツールを試しますか？無料のデモ版は」（女性の声）「ダウンロードページ」（男性の声）「から入手可能です。」（女性の声）でリンクであることを認識できる。
■音声読み上げ
「新しいツールを試しますか？無料のデモ版は」（女性の声）「ダウンロードページ」（男性の声）「から入手可能です。」（女性の声）",,,,,,,,,
,G115-2,×,"■操作手順
「夏目漱石の小説」「我輩は猫である」「は、彼の視点から描かれている」と同じ声で読み上げる、「我輩は猫である。名前はまだない…」の引用部分も同じ読み上げ方をするので、引用であることが分かるように読み上げない。
■音声読み上げ
「夏目漱石の小説「吾輩は猫である」は、猫の視点から描かれている。書き出しはこうだ。吾輩は猫である。名前はまだ無い。・・・・」",引用であることを分かるように読み上げない,,,,,,,,
,G115-3,○,"■操作手順
「エンジンを始動する前に、ギアがニュートラルにあることを確認してください。 強調 次にキーをまわして点火します。エンジンが始動するはずです。」と強調箇所の後に「強調」と読み上げ、強調していることが分かる。
■音声読み上げ
「エンジンを始動する前に、ギアがニュートラルにあることを確認してください。 強調 次にキーをまわして点火します。エンジンが始動するはずです。」","左記は、一文ずつ読み上げた結果。
全文読みで読み上げた場合、「ギアがニュートラルにあることを確認してください。」の後に「強調」とは発声されない。",,,,,,,,
,G115-4,△,"■操作手順
「彼女が本当に 強調 言いたかったのは、""これは良いどころではなく、むしろ素晴らしい 強調 ""ということだった」と強調箇所の後に「強調」と読み上げ、強調していることが分かる。
■音声読み上げ
「彼女が本当に 強調 言いたかったのは、""これは良いどころではなく、むしろ素晴らしい 強調 ""ということだった」","左記は、一文ずつ読み上げた結果。
全文読みで読み上げた場合、「本当に」や「素晴らしい」の後に「強調」とは発声されない。",,,,,,,,
,G115-5,○,"■操作手順
「そのプレー対する痛烈な 強調 批評は、少々厳しすぎるように思われました」と強調箇所の後に「強調」と読み上げ、強調していることが分かる。
■音声読み上げ
「そのプレー対する痛烈な 強調 批評は、少々厳しすぎるように思われました」","左記は、一文ずつ読み上げた結果。
全文読みで読み上げた場合、「痛烈な」の後に「強調」とは発声されない。",,,,,,,,
,G117,○,"■操作手順
太字、斜体、アンダーライン、取り消し線はそのまま読み上げるが、「製品B新製品」「製品B特価品」「製品B注目商品」「製品B生産中止」と分かるように読み上げる
■音声読み上げ
「1.太字は新製品です。製品 A　製品 B（新製品）　製品 C　2.斜体は特価品です。」","左記は全文読みで読み上げた場合。
一文ずつ読み上げると、取り消し線のある製品Bの場合のみ、「製品B リスト項目 3分の2 取り消し線」と読み上げる。",,,,,,,,
,G122,○,"■操作手順
「必須」と読み上げているので伝達できている。
■音声読み上げ
「お名前　必須」",,,,,,,,,
