,ホームページ・リーダー 3.04　アクセシビリティサポーテッド検証結果 [等級A]  2012年4月版,,,,,記号の説明,,,,,
,＊ この検証結果は、ウェブアクセシビリティ基盤委員会 実装ワーキンググループ（WG2）が提供する参考情報であり、予告なく変更されることがあります。,,,,,○,サポートあり,,,,
,＊ この情報をご利用になる前に、ライセンス（利用許諾条項）と免責事項を必ずご確認ください。,,,,,△,一部サポート,,,,
,＊最新版は、ウェブアクセシビリティ基盤委員会のサイトでご確認ください（http://waic.jp/docs/jis2010/as.html）。,,,,,×,サポートなし,,,,
,,,,,,？,判定できず,,,,
,,,,,,-,テスト不要（N/A）,,,,
,"Windows XP , Internet Explorer 6.0 , ホームページ・リーダー3.04 ",,,,,,,,,,
,"テストファイル
No.","検証結果
○/△/×/?/-",操作手順・音声読み上げログ,備考,,,,,,,
,C006,○,"野菜にフォーカスを当てた状態でCtrl＋F1を2回押すと1用語中の1番目の用語と読まれるが、２項目中の定義リストという読み方はされていない。
■音声読み上げ
「野菜 きゅうり　なす 大根 果物 りんご みかん 」",,,,,,,,
,C007,○,"■操作手順
ワシントンは、経済成長を促すためのプランを発表しました」の後に「ワシントンによる経済成長促進プランの全文」と読み上げる。前文読みでもTab移動でも同等の結果になる
■音声読み上げ
ワシントンは、経済成長を促すためのプランを発表しました」の後に「ワシントンによる経済成長促進プランの全文」",,,,,,,,
,C008,○,"■操作手順
東京都（とうきょうと）とひとつの言葉として読み上げる。
■音声読み上げ
「東京都」",,,,,,,,
,C009-1,-,テスト不要,,,,,,,,
,C009-2,○,"■操作手順
経済産業省を問題なく読み上げる
■音声読み上げ
「経済産業省」",,,,,,,,
,C009-3,-,テスト不要,,,,,,,,
,G001-1,○,"■操作手順
1.「メインコンテンツへスキップ」で押下すると、「プレスリリース」から読み上げる
2.その後にTabを押すと「PCサーバPRIMERGY」のリンクを読み上げる
■音声読み上げ
「メインコンテンツへスキップ　プレスリリース」
「PCサーバ「PRIMERGY」」",,,,,,,,
,G001-2,○,"■操作手順
1.「メインコンテンツへスキップ」で押下すると、「プレスリリース」から読み上げる
2.その後にTabを押すと「PCサーバPRIMERGY」のリンクを読み上げる
■音声読み上げ
「メインコンテンツへスキップ　プレスリリース」
「PCサーバ「PRIMERGY」」",,,,,,,,
,G014-1,○,"■操作手順
テーブル読み上げモードで→で進めてゆくと「9:00～9：30セッション1TI」をひとつの単位として読み上げる。
■音声読み上げ
「9:00～9：30セッション1TI」",※テーブル読み上げモードで判断可能になったが、これを使用しないと、「9：00～9：30」「セッション1T1」を別々に読み上げるので、判断がつかない,,,,,,,
,G014-2,○,"■操作手順
「セッション1」「トラック」「1」、「セッション5」「トラック」「2」と読み上げる、↓で現在位置を読み上げると、「セッション1」「トラック」「1」をまとめて読み上げるので理解できる。
■音声読み上げ
「09：00から9：30　セッション１　トラック１」",,,,,,,,
,G014-3,○,"■操作手順
『お問い合わせ件名必須、選択してください』『お名前必須（漢字）』をそれぞれ読み上げる。
■音声読み上げ
「お問い合わせ件名　選択してください　選択メニューお名前必須漢字　テキスト　」",,,,,,,,
,G014-4,○,"■操作手順
『送信画像ボタン』『取り消し画像ボタン』とそれぞれ違いがわかるように読み上げる。
■音声読み上げ
「送信画像ボタン、　取り消し画像ボタン」",,,,,,,,
,G021,○,"■操作手順
Tabを押してゆくと「HTMLのリンク1」→「オブジェクト富士通トップページへ」→「HTMLのリンク2」に移動する。
■音声読み上げ
「HTMLのリンク1　オブジェクト富士通トップページへ　HTMLのリンク2」",※Flash ver10.0.22.87にて操作した,,,,,,,
