,Internet Explorer 6.0　アクセシビリティサポーテッド検証結果 [等級A]  2012年5月版,,,,,記号の説明,,,,,
,＊ この検証結果は、ウェブアクセシビリティ基盤委員会 実装ワーキンググループ（WG2）が提供する参考情報であり、予告なく変更されることがあります。,,,,,○,サポートあり,,,,
,＊ この情報をご利用になる前に、ライセンス（利用許諾条項）と免責事項を必ずご確認ください。,,,,,△,一部サポート,,,,
,＊最新版は、ウェブアクセシビリティ基盤委員会のサイトでご確認ください（http://waic.jp/docs/jis2010/as.html）。,,,,,×,サポートなし,,,,
,,,,,,？,判定できず,,,,
,,,,,,-,テスト不要（N/A）,,,,
," Windows XP , Internet Explorer 6.0 , 支援技術なし",,,,,,,,,,
,"テストファイル
No.","検証結果
○/△/×/?/-",操作手順,備考,,,,,,,
,C6,○,2段組みのレイアウトで各定義リストが並んでいる。,,,,,,,,
,C7,○,CSSをオンにした状態で、リンクテキストは「全文」だけが表示された,,,,,,,,
,C8,○,「東京都」の各文字の間に1文字ずつあいている。,,,,,,,,
,C9-1,○,"画像非表示で背景が表示されなかった。
ハイコントラストでも背景は表示されなかった。",,,,,,,,
,C9-2,○,"マウスポインタをおいても背景がオレンジ色に変化しない。
→画像を抜いた状態でも背景がクリーム色になっていたので、OKとする。",,,,,,,,
,C9-3,○,"1．○：Web accessibility Toolbarで、[インラインCSSを無効』にすると青い本文枠が無効となり、『CSSを無効とする』と、背景のクリーム色と紺色の枠が無効となる。両方無効とするとテキストのみとなる。
2．○：上記どの状態でも対応。文字のサイズはツールバーの表示から変更した。コントロールパネルのユーザー補助のオプションでハイコントラスト設定したところ、ハイコントラストのまま、テキストは認識可能だった。
",,,,,,,,
,G1-1,△,1.「メインコンテンツへスキップ」が常に画面に表示されている ,2.「メインコンテンツへスキップ」にフォーカスを移動させてリンクを押下した後、次にTabキーを押下すると「メインコンテンツへスキップ」にフォーカスがあたる,,,,,,,
,G1-2,△,"1.「メインコンテンツへスキップ」は画面に表示されていない 
2.「メインコンテンツへスキップ」にフォーカスを移動させるとリンクが表示される",3.「メインコンテンツへスキップ」を押下した後、次にTabキーを押下すると「メインコンテンツへスキップ」にフォーカスがあたる,,,,,,,
,G14-1,-,テスト不要,,,,,,,,
,G14-2,-,テスト不要,,,,,,,,
,G14-3,-,テスト不要,,,,,,,,
,G14-4,-,テスト不要,,,,,,,,
,G21,○,"Flashバージョン 10.0.32.18
1.Tabキーでフォーカスをリンク「HTMLのリンク 1」へ移動させた後、Tabキーを押下するとFlashムービー内のボタン「富士通トップページへ」にフォーカスが移動し、さらにTabキーを押下するとフォーカスがFlashムービーから外へ出てリンク「HTMLのリンク 2」に移動した",,,,,,,,
,G53,-,テスト不要,,,,,,,,
,G88-1,○,リンク先の画面のタイトルバーに「自己適合宣言｜ウェブアクセシビリティ基盤委員会」が表示された。,,,,,,,,
