,Internet Explorer 7.0　アクセシビリティサポーテッド検証結果 [等級AA]  2012年5月版,,,,,記号の説明,,,,
,＊ この検証結果は、ウェブアクセシビリティ基盤委員会 実装ワーキンググループ（WG2）が提供する参考情報であり、予告なく変更されることがあります。,,,,,○,サポートあり,,,
,＊ この情報をご利用になる前に、ライセンス（利用許諾条項）と免責事項を必ずご確認ください。,,,,,△,一部サポート,,,
,＊最新版は、ウェブアクセシビリティ基盤委員会のサイトでご確認ください（http://waic.jp/docs/jis2010/as.html）。,,,,,×,サポートなし,,,
,,,,,,？,判定できず,,,
,,,,,,-,テスト不要（N/A）,,,
,"Windows Vista, Internet Explorer 7.0 , 支援技術なし",,,,,,,,,
,"テストファイル
No.","検証結果
○/△/×/?/-",操作手順,判断軸・不安要素,,,,,,
,C12,○,"メニューの[表示]−[文字サイズの変更]で、「大」「最大」を選択して文字サイズを大きくして確認しました
「ユーザー」と「とても」が相対的に大きく表示されることを確認",,,,,,,
,C13,○,"メニューの[表示]−[文字サイズの変更]で、「大」「最大」を選択して文字サイズを大きくして確認しました
「このテキストは何も指定していません。 」と比べ、他が相対的に表示されることを確認",,,,,,,
,C14,○,"メニューの[表示]−[文字サイズの変更]で、「大」「最大」を選択して文字サイズを大きくして確認しました
「ユーザー」と「とても」が１．６倍（おそらく）に大きく表示されることを確認",,,,,,,
,C15-1,○,リンクテキストをマウスオーバー、もしくはキーボードフォーカスすることにより、背景色が青くなることを確認,,,,,,,
,C15-2a,×,テキストフィールドをマウスクリック、もしくはキーボードフォーカスして確認。,テキストフィールドをマウスクリック、もしくはキーボードフォーカスしても、背景色が青くならなかった。,,,,,,
,C15-2b,×,テキストエリアをマウスクリック、もしくはキーボードフォーカスして確認。,テキストエリアをマウスクリック、もしくはキーボードフォーカスしても、背景色が青くならなかった。,,,,,,
,C15-2c,×,ラジオボタンをマウスクリック、もしくはキーボードフォーカスして確認。,ラジオボタンをマウスクリック、もしくはキーボードフォーカスしても、背景色が青くならなかった。,,,,,,
,C15-2d,×,チェックボックスをマウスクリック、もしくはキーボードフォーカスして確認。,チェックボックスをマウスクリック、もしくはキーボードフォーカスしても、背景色が青くならなかった。,,,,,,
,C15-2e,×,セレクトメニューをマウスクリック、もしくはキーボードフォーカスして確認。,セレクトメニューをマウスクリック、もしくはキーボードフォーカスしても、背景色が青くならなかった。,,,,,,
,C15-2f,×,ボタンをマウスクリック、もしくはキーボードフォーカスして確認。,ボタンをマウスクリック、もしくはキーボードフォーカスしても、背景色が青くならなかった。,,,,,,
,C15-2g,×,ボタンをマウスクリック、もしくはキーボードフォーカスして確認。,ボタンをマウスクリック、もしくはキーボードフォーカスしても、背景色が青くならなかった。,,,,,,
,G146,○,メニューの[表示]−[文字サイズの変更]で、「大」「最大」を選択して文字サイズを大きくして確認しました,,,,,,,
,G178-1,○,"マウス操作：「大きく」をクリックするとテキストの文字サイズが大きくなり、「小さく」をクリックすると小さくなり、「元に戻す」をクリックするとデフォルトの文字サイズに戻ることを確認した。 
キーボード操作：「大きく」を押下するとテキストの文字サイズが大きくなり、「小さく」を押下すると小さくなり、「元に戻す」を押下するとデフォルトの文字サイズに戻ることを確認した。 ",,,,,,,
,G178-2,○,"マウス操作：各リンクをクリックして、それぞれの％の大きさに文字サイズを変更できることを確認
キーボード操作：各リンクを押下して、それぞれの％の大きさに文字サイズを変更できることを確認",,,,,,,
,G179-1a,△,"メニューの[表示]−[文字サイズの変更]で、「大」「最大」を選択して文字サイズを大きくして確認しました
左右に並んだテキストのブロックにスクロールバーが出現し、それをスクロールすることによって、最後の文「ここで1(2)列目のカラム終了です。」まで表示されていることを確認",文字サイズの拡大自体は可能だが、　キーボードではスクロールバーが操作できず、最後の文まで表示されていることが確認できなかった。,,,,,,
,G179-1b,△,"メニューの[表示]−[文字サイズの変更]で、「大」「最大」を選択して文字サイズを大きくして確認しました
左右に並んだテキストのブロックにスクロールバーが出現し、それをスクロールすることによって、最後の文「ここで1(2)列目のカラム終了です。」まで表示されているを確認",マウスでは確認しましたが、キーボードではアドレスバーからフォーカスを移すことができませんでした。,,,,,,
,G179-2,○,"メニューの[表示]−[文字サイズの変更]で、「大」「最大」を選択して文字サイズを大きくして確認しました
テキストが中途半端に途切れることなく表示されることを確認",,,,,,,
,G179-3,○,"メニューの[表示]−[文字サイズの変更]で、「大」「最大」を選択して文字サイズを大きくして確認しました
テキストが中途半端に途切れることなく表示されることを確認",,,,,,,
,H58,‐,,,,,,,,
,H59,×,"「このサイトについて
本文」
が表示されたのみ。",ナビゲーションバーが表示されませんでした。,,,,,,
,SCR31,×,キーボードタブでリンクテキスト間をフォーカス移動させて確認。,"フォーカス時、リンクテキストの背景色が黄色に変わるが、フォーカスが外れると元の表示に戻らなかった。
スクリプトエラーが発生した。",,,,,,
,,,,,,,,,,
,この作品は、クリエイティブ・コモンズ・ライセンスの下でライセンスされています,,,,,,,,,
,,,,,,,,,,
,,,利用許諾条件（表示 - 継承 2.1 日本）の確認 ,,,,,,,
,,,,,,,,,,
,原著作者：富士通デザイン株式会社,,,,,,,,,
,作成者：ウェブアクセシビリティ基盤委員会　実装ワーキンググループ（WG2）,,,,,,,,,
,作成日： 2010年8月20日,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
