,PC-Talker XP 3.06 + NetReader 1.18　アクセシビリティサポーテッド検証結果 [等級A]  2012年4月版,,,,,記号の説明,,,
,＊ この検証結果は、ウェブアクセシビリティ基盤委員会 実装ワーキンググループ（WG2）が提供する参考情報であり、予告なく変更されることがあります。,,,,,○,サポートあり,,
,＊ この情報をご利用になる前に、ライセンス（利用許諾条項）と免責事項を必ずご確認ください。,,,,,△,一部サポート,,
,＊最新版は、ウェブアクセシビリティ基盤委員会のサイトでご確認ください（http://waic.jp/docs/jis2010/as.html）。,,,,,×,サポートなし,,
,,,,,,？,判定できず,,
,,,,,,-,テスト不要（N/A）,,
,"Windows XP , Internet Explorer 6.0 , PC-Talker XP 3.06 , NetReader 1.18
（この検証は、分割画面表示でテキスト画面をアクティブにした状態）",,,,,,,,
,"テストファイル
No.","検証結果
○/△/×/?/-",操作手順・音声読み上げログ,備考,,,,,
,C006,○,"■操作手順
定義リストとして読み上げた。（例：「2項目の定義リスト　･･････　･･････」）

■音声読み上げ
「野菜　ジュウヨンの　イチ　箇条書き　サン　定義リスト」","全文読みでフォーカスが移動した際には、定義リストとして読み上げなかった。
ただし、、Lキー（次の箇条書き）でフォーカスを移動させた際には、定義リストであることが分かるように読み上げたため、○とした。",,,,,
,C007,○,"■操作手順
テキストリンク「全文」にフォーカスを移動させた際、画面上では非表示になっている部分もあわせて「ワシントンによる経済成長促進プランの全文」と読み上げた。
■音声読み上げ
「ワシントンは　テン　経済成長を促すためのプランを発表しました　マル　ワシントンによる経済成長促進プランの全文」",,,,,,
,C008,○,"■操作手順
「とうきょうと」と読み上げた。

■音声読み上げ
「とうきょうと」",,,,,,
,C009-1,-,テスト不要,,,,,,
,C009-2,○,"■操作手順
テキストリンクにフォーカスを移動させると、そのラベル「経済産業省」を読み上げた。

■音声読み上げ
「経済産業省　リンク」",,,,,,
,C009-3,-,テスト不要,,,,,,
,G001-1,○,"■操作手順
リンク「メインコンテンツへスキップ」にフォーカスを移動させてリンクを押下した後、全文読み上げを開始すると「プレスリリース」から読み上げ始めた。
リンク「メインコンテンツへスキップ」にフォーカスを移動させてリンクを押下した後、次にTabキーを押下するとニュース本文にあるリンク「PCサーバ「PRIMERGY」」にフォーカスが移動して読み上げられた。
■音声読み上げ
「メインコンテンツへスキップ　富士通　プレスリリース・・・」",,,,,,
,G001-2,○,"■操作手順
リンク「メインコンテンツへスキップ」にフォーカスを移動させてリンクを押下した後、全文読み上げを開始すると「プレスリリース」から読み上げ始めた。
リンク「メインコンテンツへスキップ」にフォーカスを移動させてリンクを押下した後、次にTabキーを押下するとニュース本文にあるリンク「PCサーバ「PRIMERGY」」にフォーカスが移動して読み上げられた。
■音声読み上げ
「メインコンテンツへスキップ　富士通　プレスリリース・・・」",,,,,,
,G014-1,○,"■操作手順
各セッションが「T1」、「T2」、「T3」のどれに属するのかは、（）内に記載しているのでわかるが、読み上げは通常のテーブルと同じように読み上げられるため、わかりにくい。 
■音声読み上げ
「ウェッブ　業界セミナー　ニセンキュウ
キュウ　コロン　ゼロゼロ　ナミセン　キュウ　コロン　サンジュウ　セッション　イチ　カッコ　T　ワン
キュウ　コロン　ゼロゼロ　ナミセン　キュウ　コロン　サンジュウ　セッション　ゴ　カッコ　T　ツー」",,,,,,
,G014-2,○,"■操作手順
各セッションが「トラック 1」、「トラック 2」、「トラック 3」のどれに属するのかが分かる。
（上から順に読み上げるだけである）
■音声読み上げ
「ウエッブ業界セミナー　ニセンキュウ
ゼロ　キュウ　コロン　ゼロゼロ　ナミセン　ゼロ　キュウ　コロン　サンジュウ
セッション　イチ　トラック　イチ　セッション　ゴ　トラック　ニ・・・」",,,,,,
