,Safari 5.0.3　アクセシビリティサポーテッド検証結果 [等級A]  2012年4月版,,,,,記号の説明,,,,,
,＊ この検証結果は、ウェブアクセシビリティ基盤委員会 実装ワーキンググループ（WG2）が提供する参考情報であり、予告なく変更されることがあります。,,,,,○,サポートあり,,,,
,＊ この情報をご利用になる前に、ライセンス（利用許諾条項）と免責事項を必ずご確認ください。,,,,,△,一部サポート,,,,
,＊最新版は、ウェブアクセシビリティ基盤委員会のサイトでご確認ください（http://waic.jp/docs/jis2010/as.html）。,,,,,×,サポートなし,,,,
,,,,,,？,判定できず,,,,
,,,,,,-,テスト不要（N/A）,,,,
,"Mac OS10.6.6 , Safari5.0.3, 支援技術なし",,,,,,,,,,
,"テストファイル
No.","検証結果
○/△/×/?/-",操作手順,備考,,,,,,,
,C006,○,,,,,,,,,
,C007,○,,,,,,,,,
,C008,○,,,,,,,,,
,C009-1,○,,,,,,,,,
,C009-2,○,,,,,,,,,
,C009-3,○,,,,,,,,,
,G001-1,○,,,,,,,,,
,G001-2,○,,,,,,,,,
,G014-1,-,テスト不要,,,,,,,,
,G014-2,-,テスト不要,,,,,,,,
,G014-3,-,テスト不要,,,,,,,,
,G014-4,-,テスト不要,,,,,,,,
,G021,×,キーボード操作：Tabキーでフォーカスをリンク「HTMLのリンク 1」へ移動させた後、Tabキーを押下すると「HTMLのリンク２」に移動する。,,,,,,,,
,G053,-,テスト不要,,,,,,,,
,G088-1,○,,,,,,,,,
,G090-1,○,,,,,,,,,
,G090-2,○,,,,,,,,,
,G090-3,○,,,,,,,,,
,G090-4,○,,,,,,,,,
,G090-5,○,,,,,,,,,
,G091,○,,,,,,,,,
,G096-1,-,テスト不要,,,,,,,,
,G096-2,-,テスト不要,,,,,,,,
,G096-3,-,テスト不要,,,,,,,,
,G107,○,,,,,,,,,
,G108,-,テスト不要,,,,,,,,
,G115-1,○,,,,,,,,,
,G115-2,○,,,,,,,,,
,G115-3,○,,,,,,,,,
,G115-4,○,,,,,,,,,
,G115-5,○,,,,,,,,,
,G117,-,テスト不要,,,,,,,,
,G122,-,テスト不要,,,,,,,,
